Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
93,Natnael BERHANE,Eritrea,MTN,24,+1:32:52,12,+1:32:52,+1:32:52,MTN - QHUBEKA
94,Cyril LEMOINE,France,COF,32,+1:33:06,12,+1:33:06,+1:33:06,"COFIDIS, SOLUTIONS CREDITS"
95,Pello BILBAO LOPEZ DE ARMENTIA,Spain,CJR,25,+1:33:10,12,+1:33:10,+1:33:10,CAJA RURAL-SEGUROS RGA
96,Moreno MOSER,Italy,TCG,25,+1:34:09,12,+1:34:09,+1:34:09,TEAM CANNONDALE - GARMIN
97,Marcel AREGGER,Switzerland,IAM,25,+1:35:19,12,+1:35:19,+1:35:19,IAM CYCLING
98,John DEGENKOLB,Germany,TGA,26,+1:35:21,12,+1:35:21,+1:35:21,TEAM GIANT - ALPECIN
99,Mike TEUNISSEN,Netherlands,TLJ,23,+1:35:29,12,+1:35:29,+1:35:29,TEAM LOTTO NL - JUMBO
100,Bertjan LINDEMAN,Netherlands,TLJ,26,+1:35:44,12,+1:35:44,+1:35:44,TEAM LOTTO NL - JUMBO
101,Davide VILLELLA,Italy,TCG,24,+1:35:55,12,+1:35:55,+1:35:55,TEAM CANNONDALE - GARMIN
102,Stephen CUMMINGS,Great Britain,MTN,34,+1:35:56,12,+1:35:56,+1:35:56,MTN - QHUBEKA
103,Thomas DE GENDT,Belgium,LTS,29,+1:36:21,12,+1:36:21,+1:36:21,LOTTO SOUDAL
104,Andrey ZEITS,Kazakhstan,AST,29,+1:36:24,12,+1:36:24,+1:36:24,ASTANA PRO TEAM
105,Niki TERPSTRA,Netherlands,EQS,31,+1:36:39,12,+1:36:39,+1:36:39,ETIXX - QUICK STEP
106,Carlos Julian QUINTERO,Colombia,COL,29,+1:37:14,12,+1:37:14,+1:37:14,COLOMBIA
107,Alessandro DE MARCHI,Italy,BMC,29,+1:37:23,12,+1:37:23,+1:37:23,BMC RACING TEAM
108,Luis MAS BONET,Spain,CJR,26,+1:38:36,12,+1:38:36,+1:38:36,CAJA RURAL-SEGUROS RGA
109,Nikolas MAES,Belgium,EQS,29,+1:41:03,12,+1:41:03,+1:41:03,ETIXX - QUICK STEP
110,Maarten WYNANTS,Belgium,TLJ,33,+1:41:06,12,+1:41:06,+1:41:06,TEAM LOTTO NL - JUMBO
111,Timo ROOSEN,Netherlands,TLJ,22,+1:41:18,12,+1:41:18,+1:41:18,TEAM LOTTO NL - JUMBO
112,Olivier LE GAC,France,FDJ,22,+1:42:15,12,+1:42:15,+1:42:15,FDJ
113,Laurent PICHON,France,FDJ,29,+1:42:26,12,+1:42:26,+1:42:26,FDJ
