Rank,Name,Country,Stage,Gap,Team
135,Lars Ytting BAK,Denmark,1,+1:34,LOTTO
136,Adam HANSEN,Australia,1,+1:34,LOTTO
137,Davide VILLELLA,Italy,1,+1:42,CANNONDALE
138,Francisco José VENTOSO ALBERDI,Spain,1,+1:42,MOVISTAR TEAM
139,Marco BANDIERA,Italy,1,+1:48,ANDRONI GIOCATTOLI - SIDERMEC
140,Bjorn THURAU,Germany,1,+1:48,TEAM EUROPCAR
141,Yukiya ARASHIRO,Japan,1,+1:48,TEAM EUROPCAR
142,Davide MALACARNE,Italy,1,+1:48,TEAM EUROPCAR
143,Pierre ROLLAND,France,1,+1:48,TEAM EUROPCAR
144,Maxime MEDEREL,France,1,+1:48,TEAM EUROPCAR
145,Tony HUREL,France,1,+1:48,TEAM EUROPCAR
146,Perrig QUEMENEUR,France,1,+1:48,TEAM EUROPCAR
147,Romain SICARD,France,1,+1:48,TEAM EUROPCAR
148,Marco FRAPPORTI,Italy,1,+1:53,ANDRONI GIOCATTOLI - SIDERMEC
149,Miguel Angel RUBIANO CHAVEZ,Colombia,1,+1:57,COLOMBIA
150,Rick FLENS,Netherlands,1,+2:08,BELKIN
151,Maxim BELKOV,Russia,1,+2:09,TEAM KATUSHA
152,Mattia CATTANEO,Italy,1,+2:13,LAMPRE - MERIDA
153,Boy VAN POPPEL,Netherlands,1,+2:15,TREK FACTORY RACING
154,Daniele COLLI,Italy,1,+2:28,NERI SOTTOLI
155,Manuel BELLETTI,Italy,1,+2:28,ANDRONI GIOCATTOLI - SIDERMEC
156,Tom VEELERS,Netherlands,1,+2:33,TEAM GIANT-SHIMANO
157,Ben HERMANS,Belgium,1,+2:44,BMC RACING TEAM
158,Brent BOOKWALTER,United States,1,+2:44,BMC RACING TEAM
159,Michael HEPBURN,Australia,1,+2:45,ORICA GREENEDGE
160,Murilo Antonio FISCHER,Brazil,1,+2:59,FDJ
161,Jonathan CASTROVIEJO NICOLAS,Spain,1,+3:05,MOVISTAR TEAM
162,Axel DOMONT,France,1,+3:11,AG2R LA MONDIALE
163,Rodolfo Andres TORRES AGUDELO,Colombia,1,+3:19,COLOMBIA
164,Bert DE BACKER,Belgium,1,+3:21,TEAM GIANT-SHIMANO
165,Ryder HESJEDAL,Canada,1,+3:26,GARMIN
166,Tyler FARRAR,United States,1,+3:26,GARMIN
167,Fabian WEGMANN,Germany,1,+3:26,GARMIN
168,Dylan VAN BAARLE,Netherlands,1,+3:26,GARMIN
169,Thomas DEKKER,Netherlands,1,+3:26,GARMIN
170,Simone PONZI,Italy,1,+3:38,NERI SOTTOLI
171,Alberto LOSADA ALGUACIL,Spain,1,+3:41,TEAM KATUSHA
172,Martijn KEIZER,Netherlands,1,+3:52,BELKIN
173,Bernhard EISEL,Austria,1,+4:00,TEAM SKY
174,Christopher SUTTON,Australia,1,+4:00,TEAM SKY
175,Tom STAMSNIJDER,Netherlands,1,+4:00,TEAM GIANT-SHIMANO
176,Evgeny PETROV,Russia,1,+4:01,TINKOFF - SAXO
177,Eugenio ALAFACI,Italy,1,+4:06,TREK FACTORY RACING
178,Igor ANTON HERNANDEZ,Spain,1,+4:12,MOVISTAR TEAM
179,Julien BERARD,France,1,+4:15,AG2R LA MONDIALE
180,Dennis VANENDERT,Belgium,1,+4:18,LOTTO
181,Sander ARMEE,Belgium,1,+4:18,LOTTO
182,Sébastien CHAVANEL,France,1,+4:23,FDJ
183,Arnaud COURTEILLE,France,1,+4:23,FDJ
184,David TANNER,Australia,1,+4:33,BELKIN
185,Mitchell DOCKER,Australia,1,+4:33,ORICA GREENEDGE
186,Jeffry Johan ROMERO CORREDOR,Colombia,1,+4:37,COLOMBIA
187,Robinson Eduardo CHALAPUD GOMEZ,Colombia,1,+4:37,COLOMBIA
188,Angelo TULIK,France,1,+4:45,TEAM EUROPCAR
189,Matteo BONO,Italy,1,+5:08,LAMPRE - MERIDA
190,Giampaolo CARUSO,Italy,1,+5:15,TEAM KATUSHA
191,Eduard VORGANOV,Russia,1,+5:15,TEAM KATUSHA
192,Gert DOCKX,Belgium,1,+5:25,LOTTO
193,Kenny DE HAES,Belgium,1,+5:32,LOTTO
194,Nathan HAAS,Australia,1,+5:57,GARMIN
195,Andre Fernando S. Martins CARDOSO,Portugal,1,+5:57,GARMIN
196,Ramon CARRETERO,Panama,1,+6:02,NERI SOTTOLI
1,Michael MATTHEWS,Australia,2,+0,ORICA GREENEDGE
2,Luke DURBRIDGE,Australia,2,+3,ORICA GREENEDGE
3,Ivan SANTAROMITA,Italy,2,+3,ORICA GREENEDGE
4,Svein TUFT,Canada,2,+3,ORICA GREENEDGE
5,Pieter WEENING,Netherlands,2,+3,ORICA GREENEDGE
6,Cameron MEYER,Australia,2,+3,ORICA GREENEDGE
7,Rigoberto URAN URAN,Colombia,2,+8,OMEGA PHARMA - QUICK-STEP
8,Gianluca BRAMBILLA,Italy,2,+8,OMEGA PHARMA - QUICK-STEP
9,Pieter SERRY,Belgium,2,+8,OMEGA PHARMA - QUICK-STEP
10,Alessandro PETACCHI,Italy,2,+8,OMEGA PHARMA - QUICK-STEP
11,Serge PAUWELS,Belgium,2,+8,OMEGA PHARMA - QUICK-STEP
12,Julien VERMOTE,Belgium,2,+8,OMEGA PHARMA - QUICK-STEP
13,Danilo WYSS,Switzerland,2,+10,BMC RACING TEAM
14,Cadel EVANS,Australia,2,+10,BMC RACING TEAM
15,Daniel OSS,Italy,2,+10,BMC RACING TEAM
16,Steve MORABITO,Switzerland,2,+10,BMC RACING TEAM
17,Samuel SANCHEZ GONZALEZ,Spain,2,+10,BMC RACING TEAM
18,Yannick EIJSSEN,Belgium,2,+12,BMC RACING TEAM
19,Brett LANCASTER,Australia,2,+25,ORICA GREENEDGE
20,Wouter POELS,Netherlands,2,+25,OMEGA PHARMA - QUICK-STEP
21,Thomas DE GENDT,Belgium,2,+25,OMEGA PHARMA - QUICK-STEP
22,Pawel POLJANSKI,Poland,2,+26,TINKOFF - SAXO
23,Nicolas ROCHE,Ireland,2,+26,TINKOFF - SAXO
24,Michael ROGERS,Australia,2,+26,TINKOFF - SAXO
25,Rafal MAJKA,Poland,2,+26,TINKOFF - SAXO
26,Jay MCCARTHY,Australia,2,+26,TINKOFF - SAXO
27,Ivan ROVNY,Russia,2,+26,TINKOFF - SAXO
28,Chris Anker SÖRENSEN,Denmark,2,+26,TINKOFF - SAXO
29,Christopher JUUL JENSEN,Denmark,2,+26,TINKOFF - SAXO
30,Ben SWIFT,Great Britain,2,+35,TEAM SKY
31,Edvald BOASSON HAGEN,Norway,2,+35,TEAM SKY
32,Dario CATALDO,Italy,2,+38,TEAM SKY
33,Kanstantsin SIUTSOU,Belarus,2,+38,TEAM SKY
34,Sebastian HENAO GOMEZ,Colombia,2,+38,TEAM SKY
35,Salvatore PUCCIO,Italy,2,+38,TEAM SKY
36,Philip DEIGNAN,Ireland,2,+38,TEAM SKY
37,Borut BOZIC,Slovenia,2,+41,ASTANA PRO TEAM
38,Michele SCARPONI,Italy,2,+41,ASTANA PRO TEAM
39,Fabio ARU,Italy,2,+41,ASTANA PRO TEAM
40,Enrico GASPAROTTO,Italy,2,+41,ASTANA PRO TEAM
41,Janez BRAJKOVIC,Slovenia,2,+41,ASTANA PRO TEAM
42,Andrey ZEITS,Kazakhstan,2,+41,ASTANA PRO TEAM
43,Paolo TIRALONGO,Italy,2,+41,ASTANA PRO TEAM
44,Mikel LANDA MEANA,Spain,2,+41,ASTANA PRO TEAM
45,Valerio AGNOLI,Italy,2,+41,ASTANA PRO TEAM
46,Iljo KEISSE,Belgium,2,+44,OMEGA PHARMA - QUICK-STEP
47,Marcel KITTEL,Germany,2,+46,TEAM GIANT-SHIMANO
48,Elia VIVIANI,Italy,2,+53,CANNONDALE
49,Manuel QUINZIATO,Italy,2,+55,BMC RACING TEAM
50,Giacomo NIZZOLO,Italy,2,+56,TREK FACTORY RACING
51,Moreno MOSER,Italy,2,+56,CANNONDALE
52,Ivan BASSO,Italy,2,+56,CANNONDALE
53,Oscar GATTO,Italy,2,+56,CANNONDALE
54,Daniele RATTO,Italy,2,+56,CANNONDALE
55,Michel KOCH,Germany,2,+56,CANNONDALE
56,Davide APPOLLONIO,Italy,2,+58,AG2R LA MONDIALE
57,Nairo Alexander QUINTANA ROJAS,Colombia,2,+58,MOVISTAR TEAM
58,Adriano MALORI,Italy,2,+58,MOVISTAR TEAM
59,Andrey AMADOR BAKKAZAKOVA,Costa Rica,2,+58,MOVISTAR TEAM
60,Gorka IZAGUIRRE INSAUSTI,Spain,2,+58,MOVISTAR TEAM
61,Eros CAPECCHI,Italy,2,+58,MOVISTAR TEAM
62,Georg PREIDLER,Austria,2,+59,TEAM GIANT-SHIMANO
63,Luka MEZGEC,Slovenia,2,+59,TEAM GIANT-SHIMANO
64,Tobias LUDVIGSSON,Sweden,2,+59,TEAM GIANT-SHIMANO
65,Simon GESCHKE,Germany,2,+59,TEAM GIANT-SHIMANO
66,Francesco CHICCHI,Italy,2,+1:01,NERI SOTTOLI
67,Jetse BOL,Netherlands,2,+1:01,BELKIN
68,Wilco KELDERMAN,Netherlands,2,+1:01,BELKIN
69,Matteo MONTAGUTI,Italy,2,+1:01,AG2R LA MONDIALE
70,Maxime BOUET,France,2,+1:01,AG2R LA MONDIALE
71,Patrick GRETSCH,Germany,2,+1:01,AG2R LA MONDIALE
72,Hubert DUPONT,France,2,+1:01,AG2R LA MONDIALE
73,Domenico POZZOVIVO,Italy,2,+1:01,AG2R LA MONDIALE
74,Alexis VUILLERMOZ,France,2,+1:01,AG2R LA MONDIALE
75,Fumiyuki BEPPU,Japan,2,+1:03,TREK FACTORY RACING
76,Robert KISERLOVSKI,Croatia,2,+1:03,TREK FACTORY RACING
77,Fabio FELLINE,Italy,2,+1:03,TREK FACTORY RACING
78,Julian David ARREDONDO MORENO,Colombia,2,+1:03,TREK FACTORY RACING
79,Danilo HONDO,Germany,2,+1:03,TREK FACTORY RACING
80,Riccardo ZOIDL,Austria,2,+1:03,TREK FACTORY RACING
81,Maarten TJALLINGII,Netherlands,2,+1:03,BELKIN
82,Mauro FINETTO,Italy,2,+1:04,NERI SOTTOLI
83,Jonathan MONSALVE,Venezuela,2,+1:04,NERI SOTTOLI
84,Steven KRUIJSWIJK,Netherlands,2,+1:04,BELKIN
85,Matteo RABOTTINI,Italy,2,+1:04,NERI SOTTOLI
86,Marc GOOS,Netherlands,2,+1:04,BELKIN
87,Sonny COLBRELLI,Italy,2,+1:07,BARDIANI CSF
88,Nicola RUFFONI,Italy,2,+1:07,BARDIANI CSF
89,Stefano PIRAZZI,Italy,2,+1:10,BARDIANI CSF
90,Francesco Manuel BONGIORNO,Italy,2,+1:10,BARDIANI CSF
91,Enrico BATTAGLIN,Italy,2,+1:10,BARDIANI CSF
92,Nicola BOEM,Italy,2,+1:10,BARDIANI CSF
93,Edoardo ZARDINI,Italy,2,+1:10,BARDIANI CSF
94,Marco CANOLA,Italy,2,+1:10,BARDIANI CSF
95,Enrico BARBIN,Italy,2,+1:10,BARDIANI CSF
96,Nacer BOUHANNI,France,2,+1:12,FDJ
97,Diego ROSA,Italy,2,+1:17,ANDRONI GIOCATTOLI - SIDERMEC
98,Franco PELLIZOTTI,Italy,2,+1:17,ANDRONI GIOCATTOLI - SIDERMEC
99,Yonder GODOY,Venezuela,2,+1:17,ANDRONI GIOCATTOLI - SIDERMEC
100,Jackson RODRIGUEZ,Venezuela,2,+1:17,ANDRONI GIOCATTOLI - SIDERMEC
101,Johnny HOOGERLAND,Netherlands,2,+1:17,ANDRONI GIOCATTOLI - SIDERMEC
102,Paolo LONGO BORGHINI,Italy,2,+1:19,CANNONDALE
103,Roberto FERRARI,Italy,2,+1:20,LAMPRE - MERIDA
104,Laurent PICHON,France,2,+1:21,FDJ
105,Francis MOUREY,France,2,+1:21,FDJ
106,Alexandre GENIEZ,France,2,+1:21,FDJ
107,Johan LE BON,France,2,+1:21,FDJ
108,Jussi VEIKKANEN,Finland,2,+1:21,FDJ
109,Leonardo Fabio DUQUE,Colombia,2,+1:23,COLOMBIA
110,Edwin Alcibiades AVILA VANEGAS,Colombia,2,+1:23,COLOMBIA
111,Damiano CUNEGO,Italy,2,+1:23,LAMPRE - MERIDA
112,Przemyslaw NIEMIEC,Poland,2,+1:23,LAMPRE - MERIDA
113,Diego ULISSI,Italy,2,+1:23,LAMPRE - MERIDA
114,Jan POLANC,Slovenia,2,+1:23,LAMPRE - MERIDA
115,Albert TIMMER,Netherlands,2,+1:23,TEAM GIANT-SHIMANO
116,Manuele MORI,Italy,2,+1:23,LAMPRE - MERIDA
117,Winner ANACONA GOMEZ,Colombia,2,+1:23,LAMPRE - MERIDA
118,Jarlinson PANTANO,Colombia,2,+1:26,COLOMBIA
119,Fabio Andres DUARTE AREVALO,Colombia,2,+1:26,COLOMBIA
120,José HERRADA LOPEZ,Spain,2,+1:32,MOVISTAR TEAM
121,Tosh VAN DER SANDE,Belgium,2,+1:34,LOTTO
122,Joaquin RODRIGUEZ OLIVER,Spain,2,+1:36,TEAM KATUSHA
123,Vladimir GUSEV,Russia,2,+1:36,TEAM KATUSHA
124,Luca PAOLINI,Italy,2,+1:36,TEAM KATUSHA
125,Angel VICIOSO ARCOS,Spain,2,+1:36,TEAM KATUSHA
126,Daniel MORENO FERNANDEZ,Spain,2,+1:36,TEAM KATUSHA
127,Maxime MONFORT,Belgium,2,+1:37,LOTTO
128,Lars Ytting BAK,Denmark,2,+1:37,LOTTO
129,Tim WELLENS,Belgium,2,+1:37,LOTTO
130,Adam HANSEN,Australia,2,+1:37,LOTTO
131,Andrea FEDI,Italy,2,+1:40,NERI SOTTOLI
132,Francisco José VENTOSO ALBERDI,Spain,2,+1:45,MOVISTAR TEAM
133,Davide VILLELLA,Italy,2,+1:45,CANNONDALE
134,Tony HUREL,France,2,+1:48,TEAM EUROPCAR
135,Bjorn THURAU,Germany,2,+1:51,TEAM EUROPCAR
136,Yukiya ARASHIRO,Japan,2,+1:51,TEAM EUROPCAR
137,Davide MALACARNE,Italy,2,+1:51,TEAM EUROPCAR
138,Alan MARANGONI,Italy,2,+1:51,CANNONDALE
139,Maxime MEDEREL,France,2,+1:51,TEAM EUROPCAR
140,Jos VAN EMDEN,Netherlands,2,+1:51,BELKIN
141,Pierre ROLLAND,France,2,+1:51,TEAM EUROPCAR
142,Romain SICARD,France,2,+1:51,TEAM EUROPCAR
143,Marco BANDIERA,Italy,2,+1:51,ANDRONI GIOCATTOLI - SIDERMEC
144,Marco FRAPPORTI,Italy,2,+1:56,ANDRONI GIOCATTOLI - SIDERMEC
145,Miguel Angel RUBIANO CHAVEZ,Colombia,2,+2:00,COLOMBIA
146,Rick FLENS,Netherlands,2,+2:11,BELKIN
147,Maxim BELKOV,Russia,2,+2:12,TEAM KATUSHA
148,Mattia CATTANEO,Italy,2,+2:16,LAMPRE - MERIDA
149,Boy VAN POPPEL,Netherlands,2,+2:18,TREK FACTORY RACING
150,Giorgio CECCHINEL,Italy,2,+2:20,NERI SOTTOLI
151,Manuel BELLETTI,Italy,2,+2:28,ANDRONI GIOCATTOLI - SIDERMEC
152,Daniele COLLI,Italy,2,+2:31,NERI SOTTOLI
153,Tom VEELERS,Netherlands,2,+2:36,TEAM GIANT-SHIMANO
154,Perrig QUEMENEUR,France,2,+2:46,TEAM EUROPCAR
155,Brent BOOKWALTER,United States,2,+2:47,BMC RACING TEAM
156,Ben HERMANS,Belgium,2,+2:47,BMC RACING TEAM
157,Carlos Julian QUINTERO,Colombia,2,+2:56,COLOMBIA
158,Murilo Antonio FISCHER,Brazil,2,+3:02,FDJ
159,Jonathan CASTROVIEJO NICOLAS,Spain,2,+3:08,MOVISTAR TEAM
160,Axel DOMONT,France,2,+3:14,AG2R LA MONDIALE
161,Rodolfo Andres TORRES AGUDELO,Colombia,2,+3:22,COLOMBIA
162,Bert DE BACKER,Belgium,2,+3:24,TEAM GIANT-SHIMANO
163,Tyler FARRAR,United States,2,+3:26,GARMIN
164,Fabian WEGMANN,Germany,2,+3:29,GARMIN
165,Ryder HESJEDAL,Canada,2,+3:29,GARMIN
166,Thomas DEKKER,Netherlands,2,+3:29,GARMIN
167,Dylan VAN BAARLE,Netherlands,2,+3:29,GARMIN
168,Simone PONZI,Italy,2,+3:41,NERI SOTTOLI
169,Alberto LOSADA ALGUACIL,Spain,2,+3:44,TEAM KATUSHA
170,Martijn KEIZER,Netherlands,2,+3:55,BELKIN
