altitude (m),StageNum,TotalDistance
801.6,11,1923.91513
888.1,11,1925.65595
976,11,1926.87774
981.1,11,1929.20549
850.3,11,1933.28547
823.7,11,1936.73588
759.7,11,1939.99291
835.2,11,1941.3606
922.7,11,1942.62434
943.2,11,1944.2282
850.9,11,1947.50465
927.3,11,1949.49831
917.6,11,1951.50626
737.8,11,1955.74544
556.8,11,1959.67972
219.2,12,1962.92057
237,12,1966.2607
238.3,12,1969.90356
238.9,12,1973.18485
241,12,1976.85727
259.2,12,1979.5245
247.4,12,1982.03156
226.5,12,1984.79768
228.6,12,1987.31818
187.8,12,1990.19254
179.1,12,1993.06323
169.3,12,1995.95489
175.4,12,1999.02023
206.5,12,2001.96214
236.6,12,2004.62905
308.8,12,2006.86712
280.9,12,2010.08597
302.2,12,2012.87806
310.3,12,2015.74684
244.5,12,2019.19898
334.6,12,2020.80812
294.9,12,2024.07234
250.8,12,2027.30123
300.9,12,2029.68967
274.3,12,2032.32162
338.3,12,2033.87127
319.9,12,2036.79701
354.9,12,2038.74646
360.3,12,2041.33784
503,12,2048.10592
236.8,12,2058.01491
273.6,12,2067.32079
410,12,2075.50771
391.8,12,2083.45885
517.7,12,2091.4101
832.7,12,2099.56123
764.9,12,2108.79996
563.6,12,2117.97718
749.1,12,2125.31503
680.9,12,2134.38998
468.2,12,2144.45207
388.4,13,2151.26864
331.6,13,2157.11067
441,13,2160.16242
516.4,13,2164.98819
618.2,13,2167.77428
726.4,13,2169.86311
751.2,13,2172.52452
547,13,2176.74323
382.6,13,2180.87096
196.2,13,2184.98227
181.6,13,2190.68662
218,13,2196.26494
255,13,2201.80114
321.4,13,2208.70562
381.4,13,2214.78224
473.8,13,2218.02826
366.4,13,2223.2522
363.8,13,2230.56199
379.6,13,2236.32267
431,13,2243.81547
423.4,13,2252.54393
279.2,13,2257.50931
194.8,13,2263.79847
202,13,2272.83171
212.6,13,2281.91757
291.6,13,2285.59543
405.2,13,2286.66759
510.4,13,2287.8104
469.6,13,2290.95908
565,13,2292.61469
664.8,13,2294.28682
766.6,13,2295.47945
870.2,13,2296.60243
977.2,13,2297.74216
1077.4,13,2299.24199
927.2,13,2302.72224
636.2,13,2307.38869
307.6,13,2311.72839
232.8,13,2319.00913
321,13,2322.04263
410.2,13,2325.23604
495.6,13,2328.29855
600.2,13,2329.69227
706.6,13,2331.19959
811.2,13,2332.55807
910.4,13,2333.90081
1011,13,2334.95377
1108.6,13,2336.43456
1211,13,2337.83913
1308.6,13,2339.41381
1411.4,13,2340.92886
1515.8,13,2342.40546
1623.6,13,2343.68105
344,14,2346.09735
465.2,14,2348.70618
280.6,14,2354.94615
348.6,14,2361.82447
437.6,14,2366.277
535.2,14,2369.12679
629.8,14,2372.57611
717.2,14,2376.2333
723.6,14,2386.01149
783.2,14,2392.39794
889.6,14,2393.91481
986.6,14,2395.74886
978.4,14,2399.28875
1069,14,2402.3201
1113.8,14,2406.06928
1208.8,14,2408.50719
1305.8,14,2411.33543
1400.2,14,2414.24442
1500.2,14,2416.7089
1601.8,14,2418.77941
1704.6,14,2420.43361
1803.6,14,2422.24604
1900.2,14,2423.98211
1999.8,14,2426.14875
1851.8,14,2430.04905
1636.2,14,2434.66919
1497.4,14,2439.03018
1393.2,14,2444.40291
1336.8,14,2450.76094
1197.2,14,2456.08398
1294.4,14,2459.19876
1401,14,2461.10866
1462.4,14,2464.18101
1565.8,14,2466.71647
1675.4,14,2468.68754
1783.4,14,2470.44033
1892.6,14,2471.82688
1997,14,2473.21909
2098.8,14,2474.42666
2203.6,14,2475.66447
2308.6,14,2477.01291
2143.4,14,2480.25301
1816,14,2484.24576
1477.8,14,2489.69963
1269.6,14,2494.19487
1169.2,14,2499.99363
1116.4,14,2505.17163
1040,14,2509.23393
1110.4,14,2511.07155
1207.4,14,2512.91927
1306.4,14,2514.4325
1404,14,2516.14052
1510.6,14,2517.59616
1611,14,2519.1592
1716.8,14,2520.51576
1824,14,2521.90885
600.6,15,2526.19698
589.4,15,2530.87903
570.4,15,2535.07578
581.8,15,2538.43106
554.8,15,2544.05045
533,15,2550.80614
552,15,2555.86396
482.6,15,2562.04746
483.6,15,2568.65723
545.8,15,2573.77035
618,15,2577.04177
658.4,15,2580.84543
702.2,15,2586.14619
698.2,15,2592.55655
542,15,2598.03097
565.6,15,2602.28522
650.4,15,2606.15309
667.2,15,2611.21834
757.8,15,2614.98034
632.6,15,2619.44798
605.4,15,2623.99423
644.6,15,2628.20695
555.6,15,2632.7358
380.6,15,2638.00137
336.8,15,2643.40731
372.4,15,2647.19201
293.4,15,2652.17533
208.4,15,2658.02608
231.4,15,2663.37581
146.2,15,2667.72015
107.8,15,2674.2099
59.8,15,2681.2671
45.6,15,2689.00497
52,15,2697.74636
6.2,15,2704.33875
-4.8,15,2712.72534
43,15,2720.62708
46.2,15,2728.61221
17.6,15,2735.80696
31.4,15,2742.87645
150.8,16,2748.82006
182.2,16,2754.87285
197.2,16,2758.53514
204,16,2764.04264
302.8,16,2766.98012
304.6,16,2772.14319
280.8,16,2778.36098
273.2,16,2784.73569
246.4,16,2790.36632
265.4,16,2797.9281
292.8,16,2807.70611
321,16,2812.73661
390.8,16,2815.62688
318.8,16,2820.12886
412.8,16,2822.55739
371.2,16,2826.95334
329.4,16,2830.23492
286.8,16,2834.89327
282,16,2840.82176
333.6,16,2846.94818
406.4,16,2851.64851
468.2,16,2855.30151
409.4,16,2862.09796
406.8,16,2869.60514
459.8,16,2875.79626
514.2,16,2880.97858
574.8,16,2886.52629
624.6,16,2889.77764
697.4,16,2892.91781
798.8,16,2894.37523
898.8,16,2896.31547
1008,16,2897.49923
843.4,16,2900.36665
589,16,2904.78195
539.2,16,2908.57732
561.8,16,2911.91569
543.8,16,2915.19726
641.4,16,2917.3316
734.8,16,2919.29267
699.4,16,2922.28901
527.8,16,2926.32564
467.4,16,2933.62497
553.4,16,2937.0325
585,16,2940.64695
683,16,2943.71386
776.4,16,2946.37128
871,16,2948.71099
972.2,16,2950.28168
1069,16,2951.82814
1174.2,16,2953.34685
1267,16,2955.18293
1370.8,16,2956.31246
1476.4,16,2957.58187
1580.8,16,2958.84606
1684.4,16,2960.16194
1534.6,16,2963.23606
1250.4,16,2967.71529
1119.8,16,2972.21142
801.8,16,2976.71064
376,17,2982.41821
430.2,17,2990.31724
440.6,17,2996.55593
467.4,17,3005.94939
510.2,17,3012.99263
