Name,ContryCode,Team,Stage,Rank,Total Time,Gap,gap(s),Country
BARDET Romain,FRA,AG2R LA MONDIALE,4,21,12h 43' 32'',+ 03' 06'',186,France
BAKELANTS Jan,BEL,AG2R LA MONDIALE,4,22,12h 44' 02'',+ 03' 36'',216,Belgium
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,4,23,12h 44' 27'',+ 04' 01'',241,Denmark
FRANK Mathias,SUI,IAM CYCLING,4,24,12h 44' 33'',+ 04' 07'',247,Switzerland
COSTA Rui Alberto,POR,LAMPRE - MERIDA,4,25,12h 44' 36'',+ 04' 10'',250,Portugal
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,4,26,12h 45' 06'',+ 04' 40'',280,Slovenia
NERZ Dominik,GER,BORA-ARGON 18,4,27,12h 45' 12'',+ 04' 46'',286,Germany
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,4,28,12h 46' 24'',+ 05' 58'',358,France
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,4,29,12h 46' 29'',+ 06' 03'',363,Spain
PINOT Thibaut,FRA,FDJ,4,30,12h 46' 56'',+ 06' 30'',390,France
SANCHEZ Samuel,ESP,BMC RACING TEAM,4,31,12h 46' 56'',+ 06' 30'',390,Spain
VOSS Paul,GER,BORA-ARGON 18,4,32,12h 47' 27'',+ 07' 01'',421,Germany
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,4,33,12h 48' 05'',+ 07' 39'',459,Norway
ROGERS Michael,AUS,TINKOFF-SAXO,4,34,12h 48' 07'',+ 07' 41'',461,Australia
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,4,35,12h 48' 18'',+ 07' 52'',472,Ireland
CHAVANEL Sylvain,FRA,IAM CYCLING,4,36,12h 48' 30'',+ 08' 04'',484,France
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,4,37,12h 48' 33'',+ 08' 07'',487,Poland
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,4,38,12h 48' 34'',+ 08' 08'',488,Spain
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",4,39,12h 48' 57'',+ 08' 31'',511,France
OSS Daniel,ITA,BMC RACING TEAM,4,40,12h 49' 33'',+ 09' 07'',547,Italy
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,4,41,12h 49' 34'',+ 09' 08'',548,Austria
ROY Jérémy,FRA,FDJ,4,42,12h 49' 51'',+ 09' 25'',565,France
PAUWELS Serge,BEL,MTN-QHUBEKA,4,43,12h 50' 01'',+ 09' 35'',575,Belgium
MORABITO Steve,SUI,FDJ,4,44,12h 50' 04'',+ 09' 38'',578,Switzerland
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,4,45,12h 50' 13'',+ 09' 47'',587,Canada
BARTA Jan,CZE,BORA-ARGON 18,4,46,12h 50' 15'',+ 09' 49'',589,Czech Republic
BAK Lars,DEN,LOTTO-SOUDAL,4,47,12h 50' 19'',+ 09' 53'',593,Denmark
MACHADO Tiago,POR,TEAM KATUSHA,4,48,12h 50' 39'',+ 10' 13'',613,Portugal
ROLLAND Pierre,FRA,TEAM EUROPCAR,4,49,12h 50' 40'',+ 10' 14'',614,France
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,4,50,12h 50' 43'',+ 10' 17'',617,Argentina
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,4,51,12h 50' 43'',+ 10' 17'',617,Portugal
VERMOTE Julien,BEL,ETIXX-QUICK STEP,4,52,12h 50' 44'',+ 10' 18'',618,Belgium
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,53,12h 50' 47'',+ 10' 21'',621,France
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,4,54,12h 50' 47'',+ 10' 21'',621,Netherlands
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,4,55,12h 50' 50'',+ 10' 24'',624,Colombia
GOLAS Michal,POL,ETIXX-QUICK STEP,4,56,12h 50' 51'',+ 10' 25'',625,Poland
DE KORT Koen,NED,TEAM GIANT-ALPECIN,4,57,12h 51' 13'',+ 10' 47'',647,Netherlands
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,4,58,12h 51' 23'',+ 10' 57'',657,Netherlands
TULIK ANGÉLO,FRA,TEAM EUROPCAR,4,59,12h 51' 34'',+ 11' 08'',668,France
YATES Simon,GBR,ORICA GREENEDGE,4,60,12h 51' 48'',+ 11' 22'',682,Great Britain
HUZARSKI Bartosz,POL,BORA-ARGON 18,4,61,12h 51' 51'',+ 11' 25'',685,Poland
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,62,12h 51' 59'',+ 11' 33'',693,France
SCHÄR Michael,SUI,BMC RACING TEAM,4,63,12h 52' 02'',+ 11' 36'',696,Switzerland
QUINZIATO Manuel,ITA,BMC RACING TEAM,4,64,12h 52' 18'',+ 11' 52'',712,Italy
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,4,65,12h 52' 29'',+ 12' 03'',723,Great Britain
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,4,66,12h 52' 34'',+ 12' 08'',728,Germany
GAUTIER Cyril,FRA,TEAM EUROPCAR,4,67,12h 52' 44'',+ 12' 18'',738,France
ROCHE Nicolas,IRL,TEAM SKY,4,68,12h 52' 44'',+ 12' 18'',738,Ireland
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",4,69,12h 52' 48'',+ 12' 22'',742,Spain
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,4,70,12h 52' 48'',+ 12' 22'',742,Spain
YATES Adam,GBR,ORICA GREENEDGE,4,71,12h 52' 50'',+ 12' 24'',744,Great Britain
SIEBERG Marcel,GER,LOTTO-SOUDAL,4,72,12h 52' 50'',+ 12' 24'',744,Germany
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,4,73,12h 52' 52'',+ 12' 26'',746,Germany
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,4,74,12h 53' 16'',+ 12' 50'',770,Netherlands
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,4,75,12h 53' 29'',+ 13' 03'',783,Germany
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",4,76,12h 53' 40'',+ 13' 14'',794,Spain
HOLLENSTEIN Reto,SUI,IAM CYCLING,4,77,12h 53' 43'',+ 13' 17'',797,Switzerland
SICARD Romain,FRA,TEAM EUROPCAR,4,78,12h 53' 44'',+ 13' 18'',798,France
CHEREL Mikael,FRA,AG2R LA MONDIALE,4,79,12h 53' 53'',+ 13' 27'',807,France
GRIVKO Andriy,UKR,ASTANA PRO TEAM,4,80,12h 53' 53'',+ 13' 27'',807,Ukraine
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",4,81,12h 53' 56'',+ 13' 30'',810,France
WYSS Marcel,SUI,IAM CYCLING,4,82,12h 54' 01'',+ 13' 35'',815,Switzerland
MAJKA Rafal,POL,TINKOFF-SAXO,4,83,12h 54' 06'',+ 13' 40'',820,Poland
TAARAMÄE Rein,EST,ASTANA PRO TEAM,4,84,12h 54' 11'',+ 13' 45'',825,Estonia
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,4,85,12h 54' 19'',+ 13' 53'',833,Lithuania
GUARNIERI Jacopo,ITA,TEAM KATUSHA,4,86,12h 54' 22'',+ 13' 56'',836,Italy
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,87,12h 54' 22'',+ 13' 56'',836,France
GASTAUER Ben,LUX,AG2R LA MONDIALE,4,88,12h 54' 30'',+ 14' 04'',844,Luxembourg
DENNIS Rohan,AUS,BMC RACING TEAM,4,89,12h 54' 40'',+ 14' 14'',854,Australia
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,4,90,12h 54' 46'',+ 14' 20'',860,South Africa
WYSS Danilo,SUI,BMC RACING TEAM,4,91,12h 54' 54'',+ 14' 28'',868,Switzerland
SERPA SANTANDER José,COL,LAMPRE - MERIDA,4,92,12h 55' 01'',+ 14' 35'',875,Colombia
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,93,12h 55' 06'',+ 14' 40'',880,France
GREIPEL André,GER,LOTTO-SOUDAL,4,94,12h 55' 09'',+ 14' 43'',883,Germany
CLEMENT Stef,NED,IAM CYCLING,4,95,12h 55' 47'',+ 15' 21'',921,Netherlands
MALORI Adriano,ITA,MOVISTAR TEAM,4,96,12h 56' 05'',+ 15' 39'',939,Italy
STANNARD Ian,GBR,TEAM SKY,4,97,12h 56' 15'',+ 15' 49'',949,Great Britain
RAST Gregory,SUI,TREK FACTORY RACING,4,98,12h 56' 38'',+ 16' 12'',972,Switzerland
HAAS Nathan,AUS,TEAM CANNONDALE-GARMIN,4,99,12h 56' 45'',+ 16' 19'',979,Australia
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",4,100,12h 56' 50'',+ 16' 24'',984,France
SINKELDAM Ramon,NED,TEAM GIANT-ALPECIN,4,101,12h 57' 01'',+ 16' 35'',995,Netherlands
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,4,102,12h 57' 02'',+ 16' 36'',996,France
FARRAR Tyler,USA,MTN-QHUBEKA,4,103,12h 57' 06'',+ 16' 40'',1000,United States of America
DEMARE Arnaud,FRA,FDJ,4,104,12h 57' 14'',+ 16' 48'',1008,France
GERARD Arnaud,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,105,12h 57' 15'',+ 16' 49'',1009,France
DEMPSTER Zakkari,AUS,BORA-ARGON 18,4,106,12h 57' 23'',+ 16' 57'',1017,Australia
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",4,107,12h 57' 24'',+ 16' 58'',1018,France
CURVERS Roy,NED,TEAM GIANT-ALPECIN,4,108,12h 57' 39'',+ 17' 13'',1033,Netherlands
COQUARD Bryan,FRA,TEAM EUROPCAR,4,109,12h 57' 43'',+ 17' 17'',1037,France
POZZATO Filippo,ITA,LAMPRE - MERIDA,4,110,12h 58' 00'',+ 17' 34'',1054,Italy
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,4,111,12h 58' 17'',+ 17' 51'',1071,Spain
LADAGNOUS Matthieu,FRA,FDJ,4,112,12h 58' 19'',+ 17' 53'',1073,France
BOUHANNI Nacer,FRA,"COFIDIS, SOLUTIONS CREDITS",4,113,12h 58' 21'',+ 17' 55'',1075,France
RENSHAW Mark,AUS,ETIXX-QUICK STEP,4,114,12h 58' 49'',+ 18' 23'',1103,Australia
DURASEK Kristijan,CRO,LAMPRE - MERIDA,4,115,12h 58' 59'',+ 18' 33'',1113,Croatia
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,4,116,12h 59' 01'',+ 18' 35'',1115,Spain
BENNATI Daniele,ITA,TINKOFF-SAXO,4,117,12h 59' 06'',+ 18' 40'',1120,Italy
BAUER Jack,NZL,TEAM CANNONDALE-GARMIN,4,118,12h 59' 09'',+ 18' 43'',1123,New Zealand
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,4,119,12h 59' 27'',+ 19' 01'',1141,Netherlands
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,4,120,12h 59' 35'',+ 19' 09'',1149,Italy
KENNAUGH Peter,GBR,TEAM SKY,4,121,13h 00' 04'',+ 19' 38'',1178,Great Britain
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,4,122,13h 00' 05'',+ 19' 39'',1179,Belgium
DURBRIDGE Luke,AUS,ORICA GREENEDGE,4,123,13h 00' 07'',+ 19' 41'',1181,Australia
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",4,124,13h 00' 13'',+ 19' 47'',1187,Belgium
ELMIGER Martin,SUI,IAM CYCLING,4,125,13h 00' 20'',+ 19' 54'',1194,Switzerland
KONIG Leopold,CZE,TEAM SKY,4,126,13h 00' 20'',+ 19' 54'',1194,Czech Republic
GAUDIN Damien,FRA,AG2R LA MONDIALE,4,127,13h 00' 20'',+ 19' 54'',1194,France
KRISTOFF Alexander,NOR,TEAM KATUSHA,4,128,13h 00' 28'',+ 20' 02'',1202,Norway
GENIEZ Alexandre,FRA,FDJ,4,129,13h 00' 48'',+ 20' 22'',1222,France
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,4,130,13h 00' 52'',+ 20' 26'',1226,Netherlands
SCARPONI Michele,ITA,ASTANA PRO TEAM,4,131,13h 01' 02'',+ 20' 36'',1236,Italy
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,4,132,13h 01' 08'',+ 20' 42'',1242,South Africa
VAUGRENARD Benoît,FRA,FDJ,4,133,13h 01' 17'',+ 20' 51'',1251,France
CHAVANEL Sébastien,FRA,FDJ,4,134,13h 01' 43'',+ 21' 17'',1277,France
ANDERSEN Michael Valgren,DEN,TINKOFF-SAXO,4,135,13h 01' 46'',+ 21' 20'',1280,Denmark
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,136,13h 01' 51'',+ 21' 25'',1285,France
WESTRA Lieuwe,NED,ASTANA PRO TEAM,4,137,13h 02' 21'',+ 21' 55'',1315,Netherlands
BOOM Lars,NED,ASTANA PRO TEAM,4,138,13h 02' 30'',+ 22' 04'',1324,Netherlands
POELS Wouter,NED,TEAM SKY,4,139,13h 02' 41'',+ 22' 15'',1335,Netherlands
LANGEVELD Sebastian,NED,TEAM CANNONDALE-GARMIN,4,140,13h 03' 00'',+ 22' 34'',1354,Netherlands
KANGERT Tanel,EST,ASTANA PRO TEAM,4,141,13h 03' 08'',+ 22' 42'',1362,Estonia
PORTE Richie,AUS,TEAM SKY,4,142,13h 03' 16'',+ 22' 50'',1370,Australia
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,143,13h 03' 18'',+ 22' 52'',1372,France
GENE Yohann,FRA,TEAM EUROPCAR,4,144,13h 03' 27'',+ 23' 01'',1381,France
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,4,145,13h 03' 29'',+ 23' 03'',1383,Belgium
ROWE Luke,GBR,TEAM SKY,4,146,13h 03' 36'',+ 23' 10'',1390,Great Britain
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,4,147,13h 03' 37'',+ 23' 11'',1391,Kazakhstan
TOSATTO Matteo,ITA,TINKOFF-SAXO,4,148,13h 03' 40'',+ 23' 14'',1394,Italy
MEINTJES Louis,RSA,MTN-QHUBEKA,4,149,13h 03' 45'',+ 23' 19'',1399,South Africa
JUNGELS Bob,LUX,TREK FACTORY RACING,4,150,13h 03' 51'',+ 23' 25'',1405,Luxembourg
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,4,151,13h 03' 57'',+ 23' 31'',1411,Colombia
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,4,152,13h 04' 24'',+ 23' 58'',1438,Eritrea
BUCHMANN Emanuel,GER,BORA-ARGON 18,4,153,13h 04' 59'',+ 24' 33'',1473,Germany
CARUSO Gianpaolo,ITA,TEAM KATUSHA,4,154,13h 05' 17'',+ 24' 51'',1491,Italy
WELLENS Tim,BEL,LOTTO-SOUDAL,4,155,13h 05' 58'',+ 25' 32'',1532,Belgium
CUMMINGS Stephen,GBR,MTN-QHUBEKA,4,156,13h 06' 18'',+ 25' 52'',1552,Great Britain
CARUSO Damiano,ITA,BMC RACING TEAM,4,157,13h 06' 35'',+ 26' 09'',1569,Italy
BONO Matteo,ITA,LAMPRE - MERIDA,4,158,13h 06' 38'',+ 26' 12'',1572,Italy
COPPEL Jérôme,FRA,IAM CYCLING,4,159,13h 06' 55'',+ 26' 29'',1589,France
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,4,160,13h 07' 01'',+ 26' 35'',1595,Spain
RIBLON Christophe,FRA,AG2R LA MONDIALE,4,161,13h 07' 16'',+ 26' 50'',1610,France
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,4,162,13h 07' 20'',+ 26' 54'',1614,Eritrea
BASSO Ivan,ITA,TINKOFF-SAXO,4,163,13h 07' 31'',+ 27' 05'',1625,Italy
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,4,164,13h 07' 36'',+ 27' 10'',1630,Spain
BRÄNDLE Matthias,AUT,IAM CYCLING,4,165,13h 08' 19'',+ 27' 53'',1673,Austria
DEVOLDER Stijn,BEL,TREK FACTORY RACING,4,166,13h 08' 47'',+ 28' 21'',1701,Belgium
ALBASINI Michael,SUI,ORICA GREENEDGE,4,167,13h 09' 13'',+ 28' 47'',1727,Switzerland
WEENING Pieter,NED,ORICA GREENEDGE,4,168,13h 09' 18'',+ 28' 52'',1732,Netherlands
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,4,169,13h 09' 41'',+ 29' 15'',1755,Spain
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,4,170,13h 09' 53'',+ 29' 27'',1767,Spain
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,4,171,13h 10' 18'',+ 29' 52'',1792,Colombia
TIMMER Albert,NED,TEAM GIANT-ALPECIN,4,172,13h 10' 45'',+ 30' 19'',1819,Netherlands
BENNETT Sam,IRL,BORA-ARGON 18,4,173,13h 11' 45'',+ 31' 19'',1879,Ireland
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,4,174,13h 12' 01'',+ 31' 35'',1895,Netherlands
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,4,175,13h 12' 48'',+ 32' 22'',1942,Portugal
VOECKLER Thomas,FRA,TEAM EUROPCAR,4,176,13h 13' 28'',+ 33' 02'',1982,France
TUFT Svein,CAN,ORICA GREENEDGE,4,177,13h 13' 42'',+ 33' 16'',1996,Canada
HENDERSON Gregory,NZL,LOTTO-SOUDAL,4,178,13h 13' 47'',+ 33' 21'',2001,New Zealand
DE GENDT Thomas,BEL,LOTTO-SOUDAL,4,179,13h 13' 59'',+ 33' 33'',2013,Belgium
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,4,180,13h 14' 17'',+ 33' 51'',2031,France
PAOLINI Luca,ITA,TEAM KATUSHA,4,181,13h 14' 21'',+ 33' 55'',2035,Italy
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,182,13h 14' 34'',+ 34' 08'',2048,France
VAN SUMMEREN Johan,BEL,AG2R LA MONDIALE,4,183,13h 15' 00'',+ 34' 34'',2074,Belgium
CIMOLAI Davide,ITA,LAMPRE - MERIDA,4,184,13h 15' 07'',+ 34' 41'',2081,Italy
HALLER Marco,AUT,TEAM KATUSHA,4,185,13h 15' 10'',+ 34' 44'',2084,Austria
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,4,186,13h 16' 41'',+ 36' 15'',2175,Netherlands
DIDIER Laurent,LUX,TREK FACTORY RACING,4,187,13h 16' 54'',+ 36' 28'',2188,Luxembourg
DOWSETT Alex,GBR,MOVISTAR TEAM,4,188,13h 19' 08'',+ 38' 42'',2322,Great Britain
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",4,189,13h 20' 08'',+ 39' 42'',2382,France
HANSEN Adam,AUS,LOTTO-SOUDAL,4,190,13h 20' 31'',+ 40' 05'',2405,Australia
MATTHEWS Michael,AUS,ORICA GREENEDGE,4,191,13h 24' 24'',+ 43' 58'',2638,Australia
MARTIN Tony,GER,ETIXX-QUICK STEP,5,1,17h 19' 26'',0,0,Germany
FROOME Christopher,GBR,TEAM SKY,5,2,17h 19' 38'',+ 00' 12'',12,Great Britain
VAN GARDEREN Tejay,USA,BMC RACING TEAM,5,3,17h 19' 51'',+ 00' 25'',25,United States of America
SAGAN Peter,SVK,TINKOFF-SAXO,5,4,17h 19' 59'',+ 00' 33'',33,Slovakia
GALLOPIN Tony,FRA,LOTTO-SOUDAL,5,5,17h 20' 04'',+ 00' 38'',38,France
VAN AVERMAET Greg,BEL,BMC RACING TEAM,5,6,17h 20' 06'',+ 00' 40'',40,Belgium
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,5,7,17h 20' 12'',+ 00' 46'',46,Colombia
CONTADOR Alberto,ESP,TINKOFF-SAXO,5,8,17h 20' 14'',+ 00' 48'',48,Spain
THOMAS Geraint,GBR,TEAM SKY,5,9,17h 20' 41'',+ 01' 15'',75,Great Britain
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,5,10,17h 20' 42'',+ 01' 16'',76,Czech Republic
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,5,11,17h 20' 45'',+ 01' 19'',79,France
MOLLEMA Bauke,NED,TREK FACTORY RACING,5,12,17h 21' 10'',+ 01' 44'',104,Netherlands
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,5,13,17h 21' 16'',+ 01' 50'',110,Italy
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,5,14,17h 21' 17'',+ 01' 51'',111,Netherlands
KREUZIGER Roman,CZE,TINKOFF-SAXO,5,15,17h 21' 29'',+ 02' 03'',123,Czech Republic
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,5,16,17h 21' 29'',+ 02' 03'',123,Spain
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,5,17,17h 21' 34'',+ 02' 08'',128,Colombia
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,5,18,17h 21' 38'',+ 02' 12'',132,Spain
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,5,19,17h 21' 45'',+ 02' 19'',139,France
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,5,20,17h 22' 17'',+ 02' 51'',171,United States of America
BARDET Romain,FRA,AG2R LA MONDIALE,5,21,17h 22' 32'',+ 03' 06'',186,France
BAKELANTS Jan,BEL,AG2R LA MONDIALE,5,22,17h 23' 02'',+ 03' 36'',216,Belgium
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,5,23,17h 23' 27'',+ 04' 01'',241,Denmark
FRANK Mathias,SUI,IAM CYCLING,5,24,17h 23' 33'',+ 04' 07'',247,Switzerland
COSTA Rui Alberto,POR,LAMPRE - MERIDA,5,25,17h 23' 36'',+ 04' 10'',250,Portugal
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,5,26,17h 24' 06'',+ 04' 40'',280,Slovenia
NERZ Dominik,GER,BORA-ARGON 18,5,27,17h 24' 12'',+ 04' 46'',286,Germany
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,5,28,17h 25' 24'',+ 05' 58'',358,France
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,5,29,17h 25' 41'',+ 06' 15'',375,Spain
PINOT Thibaut,FRA,FDJ,5,30,17h 25' 56'',+ 06' 30'',390,France
SANCHEZ Samuel,ESP,BMC RACING TEAM,5,31,17h 25' 56'',+ 06' 30'',390,Spain
VOSS Paul,GER,BORA-ARGON 18,5,32,17h 26' 27'',+ 07' 01'',421,Germany
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,5,33,17h 27' 05'',+ 07' 39'',459,Norway
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,5,34,17h 27' 18'',+ 07' 52'',472,Ireland
CHAVANEL Sylvain,FRA,IAM CYCLING,5,35,17h 27' 30'',+ 08' 04'',484,France
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,5,36,17h 27' 34'',+ 08' 08'',488,Spain
ROGERS Michael,AUS,TINKOFF-SAXO,5,37,17h 28' 25'',+ 08' 59'',539,Australia
OSS Daniel,ITA,BMC RACING TEAM,5,38,17h 28' 56'',+ 09' 30'',570,Italy
MORABITO Steve,SUI,FDJ,5,39,17h 29' 04'',+ 09' 38'',578,Switzerland
BAK Lars,DEN,LOTTO-SOUDAL,5,40,17h 29' 19'',+ 09' 53'',593,Denmark
ROLLAND Pierre,FRA,TEAM EUROPCAR,5,41,17h 29' 40'',+ 10' 14'',614,France
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,5,42,17h 29' 43'',+ 10' 17'',617,Argentina
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,5,43,17h 29' 50'',+ 10' 24'',624,Colombia
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,5,44,17h 30' 19'',+ 10' 53'',653,Poland
DE KORT Koen,NED,TEAM GIANT-ALPECIN,5,45,17h 30' 25'',+ 10' 59'',659,Netherlands
GOLAS Michal,POL,ETIXX-QUICK STEP,5,46,17h 30' 34'',+ 11' 08'',668,Poland
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,5,47,17h 30' 35'',+ 11' 09'',669,Netherlands
SCHÄR Michael,SUI,BMC RACING TEAM,5,48,17h 31' 02'',+ 11' 36'',696,Switzerland
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,5,49,17h 31' 25'',+ 11' 59'',719,Great Britain
GAUTIER Cyril,FRA,TEAM EUROPCAR,5,50,17h 31' 44'',+ 12' 18'',738,France
YATES Simon,GBR,ORICA GREENEDGE,5,51,17h 31' 44'',+ 12' 18'',738,Great Britain
YATES Adam,GBR,ORICA GREENEDGE,5,52,17h 32' 02'',+ 12' 36'',756,Great Britain
SIEBERG Marcel,GER,LOTTO-SOUDAL,5,53,17h 32' 08'',+ 12' 42'',762,Germany
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,5,54,17h 32' 29'',+ 13' 03'',783,Germany
VERMOTE Julien,BEL,ETIXX-QUICK STEP,5,55,17h 32' 30'',+ 13' 04'',784,Belgium
QUINZIATO Manuel,ITA,BMC RACING TEAM,5,56,17h 32' 42'',+ 13' 16'',796,Italy
CHEREL Mikael,FRA,AG2R LA MONDIALE,5,57,17h 32' 53'',+ 13' 27'',807,France
SICARD Romain,FRA,TEAM EUROPCAR,5,58,17h 32' 56'',+ 13' 30'',810,France
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",5,59,17h 32' 56'',+ 13' 30'',810,France
ROCHE Nicolas,IRL,TEAM SKY,5,60,17h 33' 02'',+ 13' 36'',816,Ireland
GRIVKO Andriy,UKR,ASTANA PRO TEAM,5,61,17h 33' 03'',+ 13' 37'',817,Ukraine
TAARAMÄE Rein,EST,ASTANA PRO TEAM,5,62,17h 33' 31'',+ 14' 05'',845,Estonia
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,5,63,17h 33' 46'',+ 14' 20'',860,South Africa
GREIPEL André,GER,LOTTO-SOUDAL,5,64,17h 33' 59'',+ 14' 33'',873,Germany
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,5,65,17h 34' 02'',+ 14' 36'',876,Germany
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,5,66,17h 34' 24'',+ 14' 58'',898,Lithuania
WYSS Danilo,SUI,BMC RACING TEAM,5,67,17h 35' 12'',+ 15' 46'',946,Switzerland
RAST Gregory,SUI,TREK FACTORY RACING,5,68,17h 35' 38'',+ 16' 12'',972,Switzerland
MALORI Adriano,ITA,MOVISTAR TEAM,5,69,17h 35' 48'',+ 16' 22'',982,Italy
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",5,70,17h 35' 50'',+ 16' 24'',984,France
STANNARD Ian,GBR,TEAM SKY,5,71,17h 35' 58'',+ 16' 32'',992,Great Britain
HAAS Nathan,AUS,TEAM CANNONDALE-GARMIN,5,72,17h 36' 02'',+ 16' 36'',996,Australia
DEMARE Arnaud,FRA,FDJ,5,73,17h 36' 14'',+ 16' 48'',1008,France
