Name,ContryCode,Team,Stage,Rank,Total Time,Gap,gap(s),Country
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,12,84,48h 17' 52'',+ 01h 27' 20'',5240,Spain
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,12,85,48h 18' 10'',+ 01h 27' 38'',5258,Colombia
JUNGELS Bob,LUX,TREK FACTORY RACING,12,86,48h 18' 50'',+ 01h 28' 18'',5298,Luxembourg
CARUSO Gianpaolo,ITA,TEAM KATUSHA,12,87,48h 18' 54'',+ 01h 28' 22'',5302,Italy
POELS Wouter,NED,TEAM SKY,12,88,48h 19' 01'',+ 01h 28' 29'',5309,Netherlands
DENNIS Rohan,AUS,BMC RACING TEAM,12,89,48h 19' 12'',+ 01h 28' 40'',5320,Australia
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,12,90,48h 19' 48'',+ 01h 29' 16'',5356,Portugal
OSS Daniel,ITA,BMC RACING TEAM,12,91,48h 20' 09'',+ 01h 29' 37'',5377,Italy
WESTRA Lieuwe,NED,ASTANA PRO TEAM,12,92,48h 21' 51'',+ 01h 31' 19'',5479,Netherlands
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,12,93,48h 23' 17'',+ 01h 32' 45'',5565,Germany
HOLLENSTEIN Reto,SUI,IAM CYCLING,12,94,48h 23' 59'',+ 01h 33' 27'',5607,Switzerland
TULIK ANGÉLO,FRA,TEAM EUROPCAR,12,95,48h 24' 20'',+ 01h 33' 48'',5628,France
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,12,96,48h 24' 23'',+ 01h 33' 51'',5631,South Africa
CURVERS Roy,NED,TEAM GIANT-ALPECIN,12,97,48h 24' 56'',+ 01h 34' 24'',5664,Netherlands
CLEMENT Stef,NED,IAM CYCLING,12,98,48h 25' 03'',+ 01h 34' 31'',5671,Netherlands
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,12,99,48h 25' 24'',+ 01h 34' 52'',5692,France
GOLAS Michal,POL,ETIXX-QUICK STEP,12,100,48h 25' 26'',+ 01h 34' 54'',5694,Poland
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,12,101,48h 25' 49'',+ 01h 35' 17'',5717,Spain
RAST Gregory,SUI,TREK FACTORY RACING,12,102,48h 26' 33'',+ 01h 36' 01'',5761,Switzerland
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,12,103,48h 27' 01'',+ 01h 36' 29'',5789,France
YATES Simon,GBR,ORICA GREENEDGE,12,104,48h 27' 40'',+ 01h 37' 08'',5828,Great Britain
ROY Jérémy,FRA,FDJ,12,105,48h 28' 46'',+ 01h 38' 14'',5894,France
GREIPEL André,GER,LOTTO-SOUDAL,12,106,48h 28' 56'',+ 01h 38' 24'',5904,Germany
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,12,107,48h 29' 09'',+ 01h 38' 37'',5917,Germany
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,12,108,48h 29' 16'',+ 01h 38' 44'',5924,Netherlands
VERMOTE Julien,BEL,ETIXX-QUICK STEP,12,109,48h 29' 35'',+ 01h 39' 03'',5943,Belgium
KENNAUGH Peter,GBR,TEAM SKY,12,110,48h 29' 52'',+ 01h 39' 20'',5960,Great Britain
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,12,111,48h 30' 01'',+ 01h 39' 29'',5969,France
DEMARE Arnaud,FRA,FDJ,12,112,48h 30' 30'',+ 01h 39' 58'',5998,France
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,12,113,48h 30' 33'',+ 01h 40' 01'',6001,Eritrea
WELLENS Tim,BEL,LOTTO-SOUDAL,12,114,48h 30' 46'',+ 01h 40' 14'',6014,Belgium
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",12,115,48h 31' 04'',+ 01h 40' 32'',6032,France
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,12,116,48h 31' 40'',+ 01h 41' 08'',6068,France
ANDERSEN Michael Valgren,DEN,TINKOFF-SAXO,12,117,48h 31' 47'',+ 01h 41' 15'',6075,Denmark
VAUGRENARD Benoît,FRA,FDJ,12,118,48h 31' 54'',+ 01h 41' 22'',6082,France
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",12,119,48h 32' 08'',+ 01h 41' 36'',6096,France
CUMMINGS Stephen,GBR,MTN-QHUBEKA,12,120,48h 32' 24'',+ 01h 41' 52'',6112,Great Britain
SCARPONI Michele,ITA,ASTANA PRO TEAM,12,121,48h 33' 21'',+ 01h 42' 49'',6169,Italy
SIEBERG Marcel,GER,LOTTO-SOUDAL,12,122,48h 33' 26'',+ 01h 42' 54'',6174,Germany
SINKELDAM Ramon,NED,TEAM GIANT-ALPECIN,12,123,48h 33' 48'',+ 01h 43' 16'',6196,Netherlands
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,12,124,48h 33' 53'',+ 01h 43' 21'',6201,Spain
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,12,125,48h 34' 54'',+ 01h 44' 22'',6262,Great Britain
COQUARD Bryan,FRA,TEAM EUROPCAR,12,126,48h 35' 13'',+ 01h 44' 41'',6281,France
ELMIGER Martin,SUI,IAM CYCLING,12,127,48h 35' 45'',+ 01h 45' 13'',6313,Switzerland
GENIEZ Alexandre,FRA,FDJ,12,128,48h 35' 56'',+ 01h 45' 24'',6324,France
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,12,129,48h 36' 11'',+ 01h 45' 39'',6339,France
QUINZIATO Manuel,ITA,BMC RACING TEAM,12,130,48h 36' 25'',+ 01h 45' 53'',6353,Italy
