Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
ROLLAND Pierre,FRA,TEAM EUROPCAR,10,23,36h 10' 06'',+ 13' 57'',837
BAKELANTS Jan,BEL,AG2R LA MONDIALE,10,24,36h 10' 17'',+ 14' 08'',848
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,10,25,36h 12' 10'',+ 16' 01'',961
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,10,26,36h 13' 00'',+ 16' 51'',1011
PINOT Thibaut,FRA,FDJ,10,27,36h 14' 27'',+ 18' 18'',1098
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,10,28,36h 15' 39'',+ 19' 30'',1170
YATES Adam,GBR,ORICA GREENEDGE,10,29,36h 16' 08'',+ 19' 59'',1199
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,10,30,36h 17' 14'',+ 21' 05'',1265
VAN AVERMAET Greg,BEL,BMC RACING TEAM,10,31,36h 17' 29'',+ 21' 20'',1280
ROGERS Michael,AUS,TINKOFF-SAXO,10,32,36h 18' 13'',+ 22' 04'',1324
COSTA Rui Alberto,POR,LAMPRE - MERIDA,10,33,36h 18' 19'',+ 22' 10'',1330
SAGAN Peter,SVK,TINKOFF-SAXO,10,34,36h 19' 36'',+ 23' 27'',1407
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,10,35,36h 19' 49'',+ 23' 40'',1420
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,10,36,36h 21' 34'',+ 25' 25'',1525
GAUTIER Cyril,FRA,TEAM EUROPCAR,10,37,36h 21' 44'',+ 25' 35'',1535
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,10,38,36h 21' 59'',+ 25' 50'',1550
CHAVANEL Sylvain,FRA,IAM CYCLING,10,39,36h 22' 20'',+ 26' 11'',1571
MORABITO Steve,SUI,FDJ,10,40,36h 22' 46'',+ 26' 37'',1597
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,10,41,36h 23' 13'',+ 27' 04'',1624
BAK Lars,DEN,LOTTO-SOUDAL,10,42,36h 23' 40'',+ 27' 31'',1651
VOSS Paul,GER,BORA-ARGON 18,10,43,36h 23' 42'',+ 27' 33'',1653
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,10,44,36h 26' 04'',+ 29' 55'',1795
CHEREL Mikael,FRA,AG2R LA MONDIALE,10,45,36h 26' 28'',+ 30' 19'',1819
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",10,46,36h 27' 04'',+ 30' 55'',1855
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,10,47,36h 27' 34'',+ 31' 25'',1885
GRIVKO Andriy,UKR,ASTANA PRO TEAM,10,48,36h 27' 49'',+ 31' 40'',1900
KANGERT Tanel,EST,ASTANA PRO TEAM,10,49,36h 28' 05'',+ 31' 56'',1916
PAUWELS Serge,BEL,MTN-QHUBEKA,10,50,36h 29' 06'',+ 32' 57'',1977
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,10,51,36h 30' 33'',+ 34' 24'',2064
DE KORT Koen,NED,TEAM GIANT-ALPECIN,10,52,36h 30' 43'',+ 34' 34'',2074
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,10,53,36h 30' 53'',+ 34' 44'',2084
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,10,54,36h 31' 02'',+ 34' 53'',2093
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,10,55,36h 32' 40'',+ 36' 31'',2191
SICARD Romain,FRA,TEAM EUROPCAR,10,56,36h 33' 02'',+ 36' 53'',2213
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,10,57,36h 33' 53'',+ 37' 44'',2264
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,10,58,36h 34' 58'',+ 38' 49'',2329
ROCHE Nicolas,IRL,TEAM SKY,10,59,36h 35' 35'',+ 39' 26'',2366
YATES Simon,GBR,ORICA GREENEDGE,10,60,36h 35' 57'',+ 39' 48'',2388
SCHÄR Michael,SUI,BMC RACING TEAM,10,61,36h 36' 48'',+ 40' 39'',2439
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,10,62,36h 37' 22'',+ 41' 13'',2473
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,10,63,36h 37' 35'',+ 41' 26'',2486
CURVERS Roy,NED,TEAM GIANT-ALPECIN,10,64,36h 37' 46'',+ 41' 37'',2497
GOLAS Michal,POL,ETIXX-QUICK STEP,10,65,36h 38' 16'',+ 42' 07'',2527
HUZARSKI Bartosz,POL,BORA-ARGON 18,10,66,36h 38' 17'',+ 42' 08'',2528
WYSS Marcel,SUI,IAM CYCLING,10,67,36h 38' 28'',+ 42' 19'',2539
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,68,36h 38' 35'',+ 42' 26'',2546
MACHADO Tiago,POR,TEAM KATUSHA,10,69,36h 38' 40'',+ 42' 31'',2551
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",10,70,36h 39' 21'',+ 43' 12'',2592
RAST Gregory,SUI,TREK FACTORY RACING,10,71,36h 39' 23'',+ 43' 14'',2594
OSS Daniel,ITA,BMC RACING TEAM,10,72,36h 39' 40'',+ 43' 31'',2611
BARTA Jan,CZE,BORA-ARGON 18,10,73,36h 40' 16'',+ 44' 07'',2647
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,10,74,36h 40' 19'',+ 44' 10'',2650
GREIPEL André,GER,LOTTO-SOUDAL,10,75,36h 40' 33'',+ 44' 24'',2664
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,10,76,36h 40' 53'',+ 44' 44'',2684
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,10,77,36h 40' 53'',+ 44' 44'',2684
WYSS Danilo,SUI,BMC RACING TEAM,10,78,36h 41' 03'',+ 44' 54'',2694
PORTE Richie,AUS,TEAM SKY,10,79,36h 41' 16'',+ 45' 07'',2707
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,10,80,36h 41' 37'',+ 45' 28'',2728
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,81,36h 41' 38'',+ 45' 29'',2729
LADAGNOUS Matthieu,FRA,FDJ,10,82,36h 41' 42'',+ 45' 33'',2733
SIEBERG Marcel,GER,LOTTO-SOUDAL,10,83,36h 41' 43'',+ 45' 34'',2734
SINKELDAM Ramon,NED,TEAM GIANT-ALPECIN,10,84,36h 42' 05'',+ 45' 56'',2756
WESTRA Lieuwe,NED,ASTANA PRO TEAM,10,85,36h 42' 08'',+ 45' 59'',2759
VERMOTE Julien,BEL,ETIXX-QUICK STEP,10,86,36h 42' 25'',+ 46' 16'',2776
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,87,36h 42' 39'',+ 46' 30'',2790
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,10,88,36h 42' 48'',+ 46' 39'',2799
CARUSO Damiano,ITA,BMC RACING TEAM,10,89,36h 42' 50'',+ 46' 41'',2801
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,10,90,36h 42' 54'',+ 46' 45'',2805
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,10,91,36h 43' 11'',+ 47' 02'',2822
BENNATI Daniele,ITA,TINKOFF-SAXO,10,92,36h 43' 29'',+ 47' 20'',2840
VAUGRENARD Benoît,FRA,FDJ,10,93,36h 43' 31'',+ 47' 22'',2842
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",10,94,36h 43' 35'',+ 47' 26'',2846
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",10,95,36h 43' 46'',+ 47' 37'',2857
TAARAMÄE Rein,EST,ASTANA PRO TEAM,10,96,36h 43' 52'',+ 47' 43'',2863
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,97,36h 44' 30'',+ 48' 21'',2901
DENNIS Rohan,AUS,BMC RACING TEAM,10,98,36h 44' 45'',+ 48' 36'',2916
COPPEL Jérôme,FRA,IAM CYCLING,10,99,36h 45' 28'',+ 49' 19'',2959
ANDERSEN Michael Valgren,DEN,TINKOFF-SAXO,10,100,36h 45' 31'',+ 49' 22'',2962
COQUARD Bryan,FRA,TEAM EUROPCAR,10,101,36h 45' 37'',+ 49' 28'',2968
KRISTOFF Alexander,NOR,TEAM KATUSHA,10,102,36h 46' 04'',+ 49' 55'',2995
CARUSO Gianpaolo,ITA,TEAM KATUSHA,10,103,36h 46' 44'',+ 50' 35'',3035
MAJKA Rafal,POL,TINKOFF-SAXO,10,104,36h 47' 12'',+ 51' 03'',3063
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,10,105,36h 47' 42'',+ 51' 33'',3093
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,10,106,36h 47' 44'',+ 51' 35'',3095
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,107,36h 47' 48'',+ 51' 39'',3099
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,10,108,36h 48' 05'',+ 51' 56'',3116
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",10,109,36h 48' 07'',+ 51' 58'',3118
ROY Jérémy,FRA,FDJ,10,110,36h 48' 08'',+ 51' 59'',3119
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,10,111,36h 48' 16'',+ 52' 07'',3127
DEMPSTER Zakkari,AUS,BORA-ARGON 18,10,112,36h 48' 27'',+ 52' 18'',3138
STANNARD Ian,GBR,TEAM SKY,10,113,36h 48' 44'',+ 52' 35'',3155
POELS Wouter,NED,TEAM SKY,10,114,36h 49' 13'',+ 53' 04'',3184
QUINZIATO Manuel,ITA,BMC RACING TEAM,10,115,36h 49' 15'',+ 53' 06'',3186
SCARPONI Michele,ITA,ASTANA PRO TEAM,10,116,36h 49' 20'',+ 53' 11'',3191
DURASEK Kristijan,CRO,LAMPRE - MERIDA,10,117,36h 49' 25'',+ 53' 16'',3196
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,10,118,36h 49' 28'',+ 53' 19'',3199
HOLLENSTEIN Reto,SUI,IAM CYCLING,10,119,36h 49' 36'',+ 53' 27'',3207
DEMARE Arnaud,FRA,FDJ,10,120,36h 49' 37'',+ 53' 28'',3208
MALORI Adriano,ITA,MOVISTAR TEAM,10,121,36h 49' 50'',+ 53' 41'',3221
FARRAR Tyler,USA,MTN-QHUBEKA,10,122,36h 50' 31'',+ 54' 22'',3262
RENSHAW Mark,AUS,ETIXX-QUICK STEP,10,123,36h 50' 55'',+ 54' 46'',3286
KONIG Leopold,CZE,TEAM SKY,10,124,36h 51' 02'',+ 54' 53'',3293
JUNGELS Bob,LUX,TREK FACTORY RACING,10,125,36h 51' 08'',+ 54' 59'',3299
TULIK ANGÉLO,FRA,TEAM EUROPCAR,10,126,36h 51' 12'',+ 55' 03'',3303
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,10,127,36h 51' 16'',+ 55' 07'',3307
POZZATO Filippo,ITA,LAMPRE - MERIDA,10,128,36h 51' 27'',+ 55' 18'',3318
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,10,129,36h 51' 32'',+ 55' 23'',3323
GASTAUER Ben,LUX,AG2R LA MONDIALE,10,130,36h 51' 49'',+ 55' 40'',3340
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",10,131,36h 51' 56'',+ 55' 47'',3347
SERPA SANTANDER José,COL,LAMPRE - MERIDA,10,132,36h 52' 50'',+ 56' 41'',3401
WELLENS Tim,BEL,LOTTO-SOUDAL,10,133,36h 53' 03'',+ 56' 54'',3414
GENIEZ Alexandre,FRA,FDJ,10,134,36h 53' 19'',+ 57' 10'',3430
CLEMENT Stef,NED,IAM CYCLING,10,135,36h 53' 20'',+ 57' 11'',3431
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,10,136,36h 53' 21'',+ 57' 12'',3432
GENE Yohann,FRA,TEAM EUROPCAR,10,137,36h 53' 23'',+ 57' 14'',3434
GERARD Arnaud,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,138,36h 54' 22'',+ 58' 13'',3493
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,139,36h 55' 01'',+ 58' 52'',3532
VOECKLER Thomas,FRA,TEAM EUROPCAR,10,140,36h 55' 27'',+ 59' 18'',3558
BRÄNDLE Matthias,AUT,IAM CYCLING,10,141,36h 55' 56'',+ 59' 47'',3587
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,10,142,36h 56' 05'',+ 59' 56'',3596
MEINTJES Louis,RSA,MTN-QHUBEKA,10,143,36h 56' 24'',+ 01h 00' 15'',3615
GUARNIERI Jacopo,ITA,TEAM KATUSHA,10,144,36h 56' 34'',+ 01h 00' 25'',3625
GAUDIN Damien,FRA,AG2R LA MONDIALE,10,145,36h 56' 36'',+ 01h 00' 27'',3627
BUCHMANN Emanuel,GER,BORA-ARGON 18,10,146,36h 57' 41'',+ 01h 01' 32'',3692
RIBLON Christophe,FRA,AG2R LA MONDIALE,10,147,36h 57' 53'',+ 01h 01' 44'',3704
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,10,148,36h 58' 59'',+ 01h 02' 50'',3770
ROWE Luke,GBR,TEAM SKY,10,149,36h 59' 11'',+ 01h 03' 02'',3782
DURBRIDGE Luke,AUS,ORICA GREENEDGE,10,150,37h 00' 27'',+ 01h 04' 18'',3858
HAAS Nathan,AUS,TEAM CANNONDALE-GARMIN,10,151,37h 00' 48'',+ 01h 04' 39'',3879
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,10,152,37h 00' 54'',+ 01h 04' 45'',3885
ELMIGER Martin,SUI,IAM CYCLING,10,153,37h 01' 22'',+ 01h 05' 13'',3913
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,10,154,37h 01' 40'',+ 01h 05' 31'',3931
TIMMER Albert,NED,TEAM GIANT-ALPECIN,10,155,37h 02' 21'',+ 01h 06' 12'',3972
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,10,156,37h 02' 22'',+ 01h 06' 13'',3973
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,10,157,37h 03' 52'',+ 01h 07' 43'',4063
CUMMINGS Stephen,GBR,MTN-QHUBEKA,10,158,37h 04' 50'',+ 01h 08' 41'',4121
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,10,159,37h 04' 59'',+ 01h 08' 50'',4130
KENNAUGH Peter,GBR,TEAM SKY,10,160,37h 05' 06'',+ 01h 08' 57'',4137
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,10,161,37h 05' 53'',+ 01h 09' 44'',4184
DEVOLDER Stijn,BEL,TREK FACTORY RACING,10,162,37h 06' 17'',+ 01h 10' 08'',4208
TOSATTO Matteo,ITA,TINKOFF-SAXO,10,163,37h 06' 39'',+ 01h 10' 30'',4230
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,10,164,37h 07' 17'',+ 01h 11' 08'',4268
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",10,165,37h 08' 19'',+ 01h 12' 10'',4330
LANGEVELD Sebastian,NED,TEAM CANNONDALE-GARMIN,10,166,37h 08' 57'',+ 01h 12' 48'',4368
DE GENDT Thomas,BEL,LOTTO-SOUDAL,10,167,37h 09' 17'',+ 01h 13' 08'',4388
CIMOLAI Davide,ITA,LAMPRE - MERIDA,10,168,37h 11' 08'',+ 01h 14' 59'',4499
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,10,169,37h 11' 21'',+ 01h 15' 12'',4512
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,10,170,37h 11' 35'',+ 01h 15' 26'',4526
CHAVANEL Sébastien,FRA,FDJ,10,171,37h 12' 17'',+ 01h 16' 08'',4568
DIDIER Laurent,LUX,TREK FACTORY RACING,10,172,37h 12' 17'',+ 01h 16' 08'',4568
HALLER Marco,AUT,TEAM KATUSHA,10,173,37h 12' 56'',+ 01h 16' 47'',4607
BONO Matteo,ITA,LAMPRE - MERIDA,10,174,37h 13' 05'',+ 01h 16' 56'',4616
WEENING Pieter,NED,ORICA GREENEDGE,10,175,37h 15' 02'',+ 01h 18' 53'',4733
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,10,176,37h 18' 59'',+ 01h 22' 50'',4970
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",10,177,37h 20' 22'',+ 01h 24' 13'',5053
BENNETT Sam,IRL,BORA-ARGON 18,10,178,37h 20' 25'',+ 01h 24' 16'',5056
VAN SUMMEREN Johan,BEL,AG2R LA MONDIALE,10,179,37h 21' 31'',+ 01h 25' 22'',5122
TUFT Svein,CAN,ORICA GREENEDGE,10,180,37h 23' 57'',+ 01h 27' 48'',5268
HANSEN Adam,AUS,LOTTO-SOUDAL,10,181,37h 24' 53'',+ 01h 28' 44'',5324
DOWSETT Alex,GBR,MOVISTAR TEAM,10,182,37h 30' 54'',+ 01h 34' 45'',5685
MATTHEWS Michael,AUS,ORICA GREENEDGE,10,183,37h 38' 56'',+ 01h 42' 47'',6167
FROOME Christopher,GBR,TEAM SKY,11,1,41h 03' 31'',0,0
VAN GARDEREN Tejay,USA,BMC RACING TEAM,11,2,41h 06' 23'',+ 02' 52'',172
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,11,3,41h 06' 40'',+ 03' 09'',189
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,11,4,41h 07' 30'',+ 03' 59'',239
THOMAS Geraint,GBR,TEAM SKY,11,5,41h 07' 34'',+ 04' 03'',243
CONTADOR Alberto,ESP,TINKOFF-SAXO,11,6,41h 07' 35'',+ 04' 04'',244
GALLOPIN Tony,FRA,LOTTO-SOUDAL,11,7,41h 08' 04'',+ 04' 33'',273
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,11,8,41h 08' 06'',+ 04' 35'',275
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,11,9,41h 10' 15'',+ 06' 44'',404
MOLLEMA Bauke,NED,TREK FACTORY RACING,11,10,41h 10' 36'',+ 07' 05'',425
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,11,11,41h 11' 18'',+ 07' 47'',467
FRANK Mathias,SUI,IAM CYCLING,11,12,41h 12' 57'',+ 09' 26'',566
SANCHEZ Samuel,ESP,BMC RACING TEAM,11,13,41h 13' 58'',+ 10' 27'',627
ROLLAND Pierre,FRA,TEAM EUROPCAR,11,14,41h 17' 28'',+ 13' 57'',837
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,11,15,41h 20' 04'',+ 16' 33'',993
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,11,16,41h 20' 09'',+ 16' 38'',998
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,11,17,41h 21' 26'',+ 17' 55'',1075
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,11,18,41h 22' 45'',+ 19' 14'',1154
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,11,19,41h 24' 13'',+ 20' 42'',1242
BARDET Romain,FRA,AG2R LA MONDIALE,11,20,41h 25' 38'',+ 22' 07'',1327
KREUZIGER Roman,CZE,TINKOFF-SAXO,11,21,41h 26' 35'',+ 23' 04'',1384
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,11,22,41h 27' 07'',+ 23' 36'',1416
ROGERS Michael,AUS,TINKOFF-SAXO,11,23,41h 28' 04'',+ 24' 33'',1473
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,11,24,41h 28' 51'',+ 25' 20'',1520
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,11,25,41h 29' 12'',+ 25' 41'',1541
MORABITO Steve,SUI,FDJ,11,26,41h 30' 58'',+ 27' 27'',1647
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,11,27,41h 31' 30'',+ 27' 59'',1679
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,11,28,41h 32' 41'',+ 29' 10'',1750
PAUWELS Serge,BEL,MTN-QHUBEKA,11,29,41h 33' 15'',+ 29' 44'',1784
BAKELANTS Jan,BEL,AG2R LA MONDIALE,11,30,41h 34' 02'',+ 30' 31'',1831
YATES Adam,GBR,ORICA GREENEDGE,11,31,41h 34' 42'',+ 31' 11'',1871
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,11,32,41h 35' 38'',+ 32' 07'',1927
KANGERT Tanel,EST,ASTANA PRO TEAM,11,33,41h 36' 17'',+ 32' 46'',1966
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,11,34,41h 37' 44'',+ 34' 13'',2053
PINOT Thibaut,FRA,FDJ,11,35,41h 38' 12'',+ 34' 41'',2081
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,11,36,41h 38' 37'',+ 35' 06'',2106
CHAVANEL Sylvain,FRA,IAM CYCLING,11,37,41h 40' 15'',+ 36' 44'',2204
VAN AVERMAET Greg,BEL,BMC RACING TEAM,11,38,41h 41' 14'',+ 37' 43'',2263
BAK Lars,DEN,LOTTO-SOUDAL,11,39,41h 41' 35'',+ 38' 04'',2284
CHEREL Mikael,FRA,AG2R LA MONDIALE,11,40,41h 44' 23'',+ 40' 52'',2452
GAUTIER Cyril,FRA,TEAM EUROPCAR,11,41,41h 45' 29'',+ 41' 58'',2518
SAGAN Peter,SVK,TINKOFF-SAXO,11,42,41h 46' 17'',+ 42' 46'',2566
VOSS Paul,GER,BORA-ARGON 18,11,43,41h 47' 27'',+ 43' 56'',2636
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,11,44,41h 48' 28'',+ 44' 57'',2697
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,11,45,41h 48' 57'',+ 45' 26'',2726
MAJKA Rafal,POL,TINKOFF-SAXO,11,46,41h 49' 03'',+ 45' 32'',2732
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",11,47,41h 49' 21'',+ 45' 50'',2750
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,11,48,41h 49' 52'',+ 46' 21'',2781
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,11,49,41h 51' 19'',+ 47' 48'',2868
GRIVKO Andriy,UKR,ASTANA PRO TEAM,11,50,41h 51' 34'',+ 48' 03'',2883
PORTE Richie,AUS,TEAM SKY,11,51,41h 52' 31'',+ 49' 00'',2940
ROCHE Nicolas,IRL,TEAM SKY,11,52,41h 53' 30'',+ 49' 59'',2999
DE KORT Koen,NED,TEAM GIANT-ALPECIN,11,53,41h 54' 28'',+ 50' 57'',3057
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,11,54,41h 55' 21'',+ 51' 50'',3110
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,11,55,41h 56' 09'',+ 52' 38'',3158
HUZARSKI Bartosz,POL,BORA-ARGON 18,11,56,41h 56' 12'',+ 52' 41'',3161
WYSS Marcel,SUI,IAM CYCLING,11,57,41h 56' 23'',+ 52' 52'',3172
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,11,58,41h 56' 35'',+ 53' 04'',3184
SICARD Romain,FRA,TEAM EUROPCAR,11,59,41h 56' 47'',+ 53' 16'',3196
BARTA Jan,CZE,BORA-ARGON 18,11,60,41h 58' 11'',+ 54' 40'',3280
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",11,61,42h 00' 26'',+ 56' 55'',3415
SCHÄR Michael,SUI,BMC RACING TEAM,11,62,42h 00' 33'',+ 57' 02'',3422
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,11,63,42h 00' 49'',+ 57' 18'',3438
BUCHMANN Emanuel,GER,BORA-ARGON 18,11,64,42h 01' 01'',+ 57' 30'',3450
VOECKLER Thomas,FRA,TEAM EUROPCAR,11,65,42h 01' 02'',+ 57' 31'',3451
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,11,66,42h 01' 07'',+ 57' 36'',3456
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,11,67,42h 01' 20'',+ 57' 49'',3469
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,11,68,42h 02' 20'',+ 58' 49'',3529
MACHADO Tiago,POR,TEAM KATUSHA,11,69,42h 02' 25'',+ 58' 54'',3534
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,11,70,42h 03' 12'',+ 59' 41'',3581
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,11,71,42h 04' 04'',+ 01h 00' 33'',3633
WYSS Danilo,SUI,BMC RACING TEAM,11,72,42h 04' 48'',+ 01h 01' 17'',3677
CARUSO Gianpaolo,ITA,TEAM KATUSHA,11,73,42h 05' 06'',+ 01h 01' 35'',3695
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,11,74,42h 05' 22'',+ 01h 01' 51'',3711
LADAGNOUS Matthieu,FRA,FDJ,11,75,42h 05' 27'',+ 01h 01' 56'',3716
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,11,76,42h 06' 00'',+ 01h 02' 29'',3749
OSS Daniel,ITA,BMC RACING TEAM,11,77,42h 06' 21'',+ 01h 02' 50'',3770
CARUSO Damiano,ITA,BMC RACING TEAM,11,78,42h 06' 35'',+ 01h 03' 04'',3784
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,11,79,42h 07' 15'',+ 01h 03' 44'',3824
COPPEL Jérôme,FRA,IAM CYCLING,11,80,42h 09' 13'',+ 01h 05' 42'',3942
TULIK ANGÉLO,FRA,TEAM EUROPCAR,11,81,42h 09' 19'',+ 01h 05' 48'',3948
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,11,82,42h 09' 29'',+ 01h 05' 58'',3958
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,11,83,42h 09' 33'',+ 01h 06' 02'',3962
YATES Simon,GBR,ORICA GREENEDGE,11,84,42h 10' 32'',+ 01h 07' 01'',4021
KONIG Leopold,CZE,TEAM SKY,11,85,42h 10' 50'',+ 01h 07' 19'',4039
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,11,86,42h 10' 54'',+ 01h 07' 23'',4043
CURVERS Roy,NED,TEAM GIANT-ALPECIN,11,87,42h 11' 08'',+ 01h 07' 37'',4057
CLEMENT Stef,NED,IAM CYCLING,11,88,42h 11' 15'',+ 01h 07' 44'',4064
DENNIS Rohan,AUS,BMC RACING TEAM,11,89,42h 11' 26'',+ 01h 07' 55'',4075
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,11,90,42h 11' 36'',+ 01h 08' 05'',4085
GOLAS Michal,POL,ETIXX-QUICK STEP,11,91,42h 11' 38'',+ 01h 08' 07'',4087
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",11,92,42h 11' 52'',+ 01h 08' 21'',4101
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,11,93,42h 12' 01'',+ 01h 08' 30'',4110
RAST Gregory,SUI,TREK FACTORY RACING,11,94,42h 12' 45'',+ 01h 09' 14'',4154
POELS Wouter,NED,TEAM SKY,11,95,42h 12' 58'',+ 01h 09' 27'',4167
DURASEK Kristijan,CRO,LAMPRE - MERIDA,11,96,42h 13' 10'',+ 01h 09' 39'',4179
