Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
PINOT Thibaut,FRA,FDJ,4,30,12h 46' 56'',+ 06' 30'',390
SANCHEZ Samuel,ESP,BMC RACING TEAM,4,31,12h 46' 56'',+ 06' 30'',390
VOSS Paul,GER,BORA-ARGON 18,4,32,12h 47' 27'',+ 07' 01'',421
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,4,33,12h 48' 05'',+ 07' 39'',459
ROGERS Michael,AUS,TINKOFF-SAXO,4,34,12h 48' 07'',+ 07' 41'',461
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,4,35,12h 48' 18'',+ 07' 52'',472
CHAVANEL Sylvain,FRA,IAM CYCLING,4,36,12h 48' 30'',+ 08' 04'',484
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,4,37,12h 48' 33'',+ 08' 07'',487
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,4,38,12h 48' 34'',+ 08' 08'',488
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",4,39,12h 48' 57'',+ 08' 31'',511
OSS Daniel,ITA,BMC RACING TEAM,4,40,12h 49' 33'',+ 09' 07'',547
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,4,41,12h 49' 34'',+ 09' 08'',548
ROY Jérémy,FRA,FDJ,4,42,12h 49' 51'',+ 09' 25'',565
PAUWELS Serge,BEL,MTN-QHUBEKA,4,43,12h 50' 01'',+ 09' 35'',575
MORABITO Steve,SUI,FDJ,4,44,12h 50' 04'',+ 09' 38'',578
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,4,45,12h 50' 13'',+ 09' 47'',587
BARTA Jan,CZE,BORA-ARGON 18,4,46,12h 50' 15'',+ 09' 49'',589
BAK Lars,DEN,LOTTO-SOUDAL,4,47,12h 50' 19'',+ 09' 53'',593
MACHADO Tiago,POR,TEAM KATUSHA,4,48,12h 50' 39'',+ 10' 13'',613
ROLLAND Pierre,FRA,TEAM EUROPCAR,4,49,12h 50' 40'',+ 10' 14'',614
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,4,50,12h 50' 43'',+ 10' 17'',617
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,4,51,12h 50' 43'',+ 10' 17'',617
VERMOTE Julien,BEL,ETIXX-QUICK STEP,4,52,12h 50' 44'',+ 10' 18'',618
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,53,12h 50' 47'',+ 10' 21'',621
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,4,54,12h 50' 47'',+ 10' 21'',621
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,4,55,12h 50' 50'',+ 10' 24'',624
GOLAS Michal,POL,ETIXX-QUICK STEP,4,56,12h 50' 51'',+ 10' 25'',625
DE KORT Koen,NED,TEAM GIANT-ALPECIN,4,57,12h 51' 13'',+ 10' 47'',647
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,4,58,12h 51' 23'',+ 10' 57'',657
TULIK ANGÉLO,FRA,TEAM EUROPCAR,4,59,12h 51' 34'',+ 11' 08'',668
YATES Simon,GBR,ORICA GREENEDGE,4,60,12h 51' 48'',+ 11' 22'',682
HUZARSKI Bartosz,POL,BORA-ARGON 18,4,61,12h 51' 51'',+ 11' 25'',685
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,62,12h 51' 59'',+ 11' 33'',693
SCHÄR Michael,SUI,BMC RACING TEAM,4,63,12h 52' 02'',+ 11' 36'',696
QUINZIATO Manuel,ITA,BMC RACING TEAM,4,64,12h 52' 18'',+ 11' 52'',712
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,4,65,12h 52' 29'',+ 12' 03'',723
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,4,66,12h 52' 34'',+ 12' 08'',728
GAUTIER Cyril,FRA,TEAM EUROPCAR,4,67,12h 52' 44'',+ 12' 18'',738
ROCHE Nicolas,IRL,TEAM SKY,4,68,12h 52' 44'',+ 12' 18'',738
